match_id,season,date,venue,team,opp,is_home,toss_won,team_bats_first,toss_won_bat_first,form_rate,form_diff,home_toss_won,home_toss_bat_first,elo_team,elo_opp,venue_win_rate,win_flag,is_home_x_toss_won,elo_diff
571237,2012/13,2012-12-13,Adelaide Oval,Adelaide Strikers,Brisbane Heat,1,0,1,0,0.2857142857142857,-0.047619047619047616,0,0,1474.3362847789472,1482.679566106113,1.0,0,0,-8.343281327165869
571237,2012/13,2012-12-13,Adelaide Oval,Brisbane Heat,Adelaide Strikers,0,1,0,0,0.3333333333333333,0.047619047619047616,0,0,1482.679566106113,1474.3362847789472,1.0,1,0,8.343281327165869
571238,2012/13,2012-12-14,Stadium Australia,Sydney Thunder,Melbourne Renegades,0,0,1,0,0.2857142857142857,-0.14285714285714285,0,0,1471.192106237826,1492.133937361925,1.0,0,0,-20.941831124099053
571238,2012/13,2012-12-14,Stadium Australia,Melbourne Renegades,Sydney Thunder,0,1,0,0,0.42857142857142855,0.14285714285714285,0,0,1492.133937361925,1471.192106237826,1.0,1,0,20.941831124099053
571239,2012/13,2012-12-15,Melbourne Cricket Ground,Melbourne Stars,Hobart Hurricanes,1,1,0,0,0.5,-0.25,1,0,1492.5108167028686,1534.9394036244553,1.0,1,1,-42.42858692158666
571239,2012/13,2012-12-15,Melbourne Cricket Ground,Hobart Hurricanes,Melbourne Stars,0,0,1,0,0.75,0.25,1,0,1534.9394036244553,1492.5108167028686,1.0,0,0,42.42858692158666
571240,2012/13,2012-12-16,Sydney Cricket Ground,Sydney Sixers,Perth Scorchers,1,0,1,0,0.875,0.375,0,0,1556.8133710435175,1495.3945141443473,1.0,0,0,61.41885689917012
571240,2012/13,2012-12-16,Sydney Cricket Ground,Perth Scorchers,Sydney Sixers,0,1,0,0,0.5,-0.375,0,0,1495.3945141443473,1556.8133710435175,1.0,1,0,-61.41885689917012
571241,2012/13,2012-12-18,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Perth Scorchers,1,0,1,0,0.42857142857142855,-0.07142857142857145,0,0,1492.4394733154115,1507.144103710686,1.0,0,0,-14.704630395274535
571241,2012/13,2012-12-18,"Brisbane Cricket Ground, Woolloongabba",Perth Scorchers,Brisbane Heat,0,1,0,0,0.5,0.07142857142857145,0,0,1507.144103710686,1492.4394733154115,1.0,1,0,14.704630395274535
571242,2012/13,2012-12-19,Docklands Stadium,Melbourne Renegades,Hobart Hurricanes,1,1,0,0,0.5,-0.125,1,0,1501.5319119118421,1523.7242453311815,1.0,1,1,-22.19233341933932
571242,2012/13,2012-12-19,Docklands Stadium,Hobart Hurricanes,Melbourne Renegades,0,0,1,0,0.625,0.125,1,0,1523.7242453311815,1501.5319119118421,1.0,0,0,22.19233341933932
571243,2012/13,2012-12-20,Stadium Australia,Sydney Thunder,Adelaide Strikers,0,1,0,0,0.25,0.0,0,0,1461.794131687909,1464.5763775696487,1.0,0,0,-2.7822458817397546
571243,2012/13,2012-12-20,Stadium Australia,Adelaide Strikers,Sydney Thunder,0,0,1,0,0.25,0.0,0,0,1464.5763775696487,1461.794131687909,1.0,1,0,2.7822458817397546
571245,2012/13,2012-12-22,Docklands Stadium,Melbourne Renegades,Brisbane Heat,1,0,0,0,0.625,0.25,0,0,1512.1697913387056,1482.86245407314,1.0,1,0,29.307337265565593
571245,2012/13,2012-12-22,Docklands Stadium,Brisbane Heat,Melbourne Renegades,0,1,1,1,0.375,-0.25,0,0,1482.86245407314,1512.1697913387056,1.0,0,0,-29.307337265565593
571247,2012/13,2012-12-23,Adelaide Oval,Adelaide Strikers,Sydney Sixers,1,0,0,0,0.25,-0.5,0,0,1474.4962998077085,1545.0637814771787,1.0,1,0,-70.56748166947023
571247,2012/13,2012-12-23,Adelaide Oval,Sydney Sixers,Adelaide Strikers,0,1,1,1,0.75,0.5,0,0,1545.0637814771787,1474.4962998077085,1.0,0,0,70.56748166947023
571248,2012/13,2012-12-26,Sydney Cricket Ground,Sydney Sixers,Hobart Hurricanes,1,0,1,0,0.75,0.25,0,0,1533.060162693008,1513.086365904318,1.0,0,0,19.973796788689924
571248,2012/13,2012-12-26,Sydney Cricket Ground,Hobart Hurricanes,Sydney Sixers,0,1,0,0,0.5,-0.25,0,0,1513.086365904318,1533.060162693008,1.0,1,0,-19.973796788689924
571249,2012/13,2012-12-27,Adelaide Oval,Adelaide Strikers,Melbourne Stars,1,0,0,0,0.375,-0.125,0,0,1486.4999185918794,1503.7259749961424,1.0,0,0,-17.22605640426309
571249,2012/13,2012-12-27,Adelaide Oval,Melbourne Stars,Adelaide Strikers,0,1,1,1,0.5,0.125,0,0,1503.7259749961424,1486.4999185918794,1.0,1,0,17.22605640426309
571250,2012/13,2012-12-28,Stadium Australia,Sydney Thunder,Brisbane Heat,0,1,1,1,0.125,-0.25,0,0,1451.874209449849,1473.7039920113311,1.0,0,0,-21.829782561482034
571250,2012/13,2012-12-28,Stadium Australia,Brisbane Heat,Sydney Thunder,0,0,0,0,0.375,0.25,0,0,1473.7039920113311,1451.874209449849,1.0,1,0,21.829782561482034
571251,2012/13,2012-12-29,Western Australia Cricket Association Ground,Perth Scorchers,Melbourne Renegades,1,0,1,0,0.5,-0.25,0,0,1516.7211229529576,1521.3282534005145,1.0,1,0,-4.607130447556983
571251,2012/13,2012-12-29,Western Australia Cricket Association Ground,Melbourne Renegades,Perth Scorchers,0,1,0,0,0.75,0.25,0,0,1521.3282534005145,1516.7211229529576,1.0,0,0,4.607130447556983
571252,2012/13,2012-12-30,Stadium Australia,Sydney Thunder,Sydney Sixers,0,1,1,1,0.0,-0.625,0,0,1442.5016955953693,1522.4859031138326,1.0,0,0,-79.98420751846334
571252,2012/13,2012-12-30,Stadium Australia,Sydney Sixers,Sydney Thunder,0,0,0,0,0.625,0.625,0,0,1522.4859031138326,1442.5016955953693,1.0,1,0,79.98420751846334
571254,2012/13,2013-01-02,Docklands Stadium,Melbourne Renegades,Adelaide Strikers,1,0,1,0,0.625,0.25,0,0,1511.1956572986037,1476.9953184807823,1.0,1,0,34.200338817821375
571254,2012/13,2013-01-02,Docklands Stadium,Adelaide Strikers,Melbourne Renegades,0,1,0,0,0.375,-0.25,0,0,1476.9953184807823,1511.1956572986037,1.0,0,0,-34.200338817821375
